JID,Formula,Dir.gap (eV),Indir. gap (eV),Eff (%)
JVASP-8167,Zr1 S1 O1,1.3337,1.3337,33.98150182
JVASP-2235,K1 Sn1 As1,1.3386,1.3386,33.98110225
JVASP-2322,Dy1 Ag1 Te2,1.3398,1.3398,33.97637192
JVASP-12747,Na1 Ag3 O2,1.3466,1.3466,33.94340932
JVASP-3408,In2 Hg1 Te4,1.349,1.349,33.9357672
JVASP-28400,Te2 W1,1.3508,1.3508,33.93263484
JVASP-4954,Rh1 O2 F6,1.3571,1.3571,33.9301703
JVASP-19122,Tm2 S3,1.3674,1.3674,33.92462858
JVASP-14262,Tm2 S3,1.3674,1.3674,33.92462858
JVASP-2700,Th1 Se1 O1,1.329,1.329,33.92402589
JVASP-12474,Hg3 Cl2 O2,1.3668,1.3668,33.92391682
JVASP-12949,K2 Ti1 S3,1.3438,1.3426,33.91702992
JVASP-1696,Ba1 Li1 As1,1.3701,1.3701,33.90263626
JVASP-12735,Li1 Ag3 O2,1.373,1.373,33.88795307
JVASP-31158,Mg1 In2 Te4,1.3791,1.3791,33.8806129
JVASP-14049,K1 Au1 Br4,1.327,1.327,33.85862944
JVASP-59035,K1 Au1 Br4,1.327,1.327,33.85862944
JVASP-1183,In1 P1,1.3874,1.3874,33.84688182
JVASP-266,In1 P1,1.3874,1.3874,33.84688182
JVASP-2520,Ca1 Cd2 As2,1.1421,1.1421,33.83127704
JVASP-10194,Th1 Se2,1.148,1.148,33.83071629
JVASP-30380,Nb1 V3 O10,1.3886,1.3886,33.8304878
JVASP-4050,Ca1 Mg2 Bi2,1.1388,1.1388,33.8282557
JVASP-3996,W1 Br6,1.1405,1.1405,33.82769582
JVASP-8582,Cu1 Br1,1.1372,1.1372,33.82575447
JVASP-36467,Ca3 Sb1 P1,1.1575,1.1575,33.8193333
JVASP-36959,Li1 Sn1 Cl3,1.1575,1.1575,33.8193333
JVASP-36448,Sr3 N2,1.1583,1.1583,33.81743976
JVASP-8211,Tl1 Ga1 Se2,1.1585,1.1585,33.81743975
JVASP-3201,Y1 Ag1 Te2,1.1622,1.1622,33.8125939
JVASP-8071,Ga1 Cu1 Se2,1.3915,1.3915,33.81127379
JVASP-28503,Mo2 W1 Se4 S2,1.1462,1.1456,33.80556295
JVASP-28909,Mo1 W3 Se8,1.3833,1.3809,33.8035859
JVASP-5824,Ta3 S1 Br7,1.1673,1.1673,33.80301098
JVASP-10145,Li2 Ti1 F6,1.1722,1.1722,33.78991019
JVASP-35067,K1 Mg1 Bi1,1.3649,1.3604,33.77422412
JVASP-28457,Te2 Mo1,1.1798,1.1798,33.7624445
JVASP-30498,Hf1 Te1 Se4,1.1221,1.1221,33.75943838
JVASP-36015,Hf1 C1,1.1211,1.1211,33.75422556
JVASP-39508,K1 Y1 Sn1,1.1218,1.1218,33.75422556
JVASP-41734,Ta1 Tl1 O3,1.1852,1.1852,33.74431957
JVASP-1174,Ga1 As1,1.3207,1.3207,33.72839832
JVASP-37174,Na3 N1,1.3213,1.3213,33.72839832
JVASP-28461,W3 Se2 S4,1.1217,1.1209,33.72017629
JVASP-31902,Se2 N1 Cl3,1.1918,1.1918,33.71477289
JVASP-36461,Ca3 Sb1 As1,1.1157,1.1157,33.68698194
JVASP-7656,Ba1 Cu2 Se2,1.1145,1.1145,33.67547943
JVASP-34477,K2 Th1 Cu2 S4,1.4029,1.4029,33.64803057
JVASP-28520,Mo1 W2 Se2 S4,1.3403,1.3306,33.64518584
